STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2024-05-10,5.83
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2023-05-01,4.7
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2022-05-01,4.95
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2019-05-01,6.03
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2018-05-01,4.9
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2017-05-01,4.86
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2016-05-01,4.72
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2015-05-01,4.65
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,2014-05-01,4.65
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.325,82.8793,2024-05-10,7.01
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2024-05-10,7.91
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.325,82.8793,2023-05-01,7.9
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2023-05-01,10.78
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2022-05-01,9.86
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2019-05-01,10.48
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2018-05-01,10.96
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2017-05-01,11.54
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2015-05-01,10.11
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Araku,18.3207,82.8814,2014-05-01,9.1
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Aruku,18.325,82.8793,2024-05-10,11.38
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Aruku,18.325,82.8793,2023-05-01,7.74
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2024-05-10,4.96
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2023-05-01,3.2
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2022-05-01,10.3
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2019-05-01,12.05
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2018-05-01,12.3
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2017-05-01,12.0
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2016-05-01,12.23
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2015-05-01,11.55
Andhra Pradesh,Alluri Sitharama Raju Araku,Valley,Sunkarametta,18.2785,82.96694,2014-05-01,2.16
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Antarla,17.8637,82.3472,2024-05-10,15.67
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Antarla,17.86067,82.33823,2023-05-01,7.45
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Antarla,17.8637,82.3472,2023-05-01,15.96
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Antarla,17.8637,82.3472,2022-05-01,18.32
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2024-05-10,1.89
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2023-05-01,2.06
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2022-05-01,1.96
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2019-05-01,2.35
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2018-05-01,2.3
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2017-05-01,1.9
